coxa_deg,femur_deg,tibia_deg,x,y,z
-45.0,-43.0,-45.0,29.84,-132.34,99.31
-45.0,-43.0,-43.0,29.66,-132.16,94.43
-45.0,-43.0,-41.0,29.36,-131.86,89.56
-45.0,-43.0,-39.0,28.94,-131.44,84.71
-45.0,-43.0,-37.0,28.4,-130.9,79.88
-45.0,-43.0,-35.0,27.74,-130.24,75.09
-45.0,-43.0,-33.0,26.96,-129.46,70.33
-45.0,-43.0,-31.0,26.06,-128.56,65.61
-45.0,-43.0,-29.0,25.05,-127.55,60.93
-45.0,-43.0,-27.0,23.93,-126.43,56.31
-45.0,-43.0,-25.0,22.69,-125.19,51.75
-45.0,-43.0,-23.0,21.34,-123.84,47.25
-45.0,-43.0,-21.0,19.88,-122.38,42.82
-45.0,-43.0,-19.0,18.31,-120.81,38.47
-45.0,-43.0,-17.0,16.64,-119.14,34.2
-45.0,-43.0,-15.0,14.86,-117.36,30.01
-45.0,-43.0,-13.0,12.97,-115.47,25.91
-45.0,-43.0,-11.0,10.99,-113.49,21.91
-45.0,-43.0,-9.0,8.91,-111.41,18.0
-45.0,-43.0,-7.0,6.74,-109.24,14.2
-45.0,-43.0,-5.0,4.47,-106.97,10.52
-45.0,-43.0,-3.0,2.12,-104.62,6.94
-45.0,-43.0,-1.0,-0.33,-102.17,3.49
-45.0,-43.0,1.0,-2.86,-99.64,0.15
-45.0,-43.0,3.0,-5.46,-97.04,-3.05
-45.0,-43.0,5.0,-8.15,-94.35,-6.13
-45.0,-43.0,7.0,-10.91,-91.59,-9.07
-45.0,-43.0,9.0,-13.74,-88.76,-11.87
-45.0,-43.0,11.0,-16.64,-85.86,-14.53
-45.0,-43.0,13.0,-19.6,-82.9,-17.05
-45.0,-43.0,15.0,-22.62,-79.88,-19.42
-45.0,-43.0,17.0,-25.7,-76.8,-21.64
-45.0,-43.0,19.0,-28.83,-73.67,-23.7
-45.0,-43.0,21.0,-32.01,-70.49,-25.61
-45.0,-43.0,23.0,-35.24,-67.26,-27.36
-45.0,-43.0,25.0,-38.5,-64.0,-28.95
-45.0,-43.0,27.0,-41.81,-60.69,-30.38
-45.0,-43.0,29.0,-45.15,-57.35,-31.65
-45.0,-43.0,31.0,-48.51,-53.99,-32.75
-45.0,-43.0,33.0,-51.91,-50.59,-33.68
-45.0,-43.0,35.0,-55.32,-47.18,-34.44
-45.0,-43.0,37.0,-58.75,-43.75,-35.04
-45.0,-43.0,39.0,-62.19,-40.31,-35.46
-45.0,-43.0,41.0,-65.64,-36.86,-35.72
-45.0,-43.0,43.0,-69.1,-33.4,-35.8
-45.0,-43.0,45.0,-72.55,-29.95,-35.72
-45.0,-41.0,-45.0,28.79,-131.29,95.79
-45.0,-41.0,-43.0,28.49,-130.99,90.92
-45.0,-41.0,-41.0,28.07,-130.57,86.07
-45.0,-41.0,-39.0,27.53,-130.03,81.25
-45.0,-41.0,-37.0,26.87,-129.37,76.45
-45.0,-41.0,-35.0,26.09,-128.59,71.69
-45.0,-41.0,-33.0,25.2,-127.7,66.97
-45.0,-41.0,-31.0,24.19,-126.69,62.29
-45.0,-41.0,-29.0,23.06,-125.56,57.67
-45.0,-41.0,-27.0,21.82,-124.32,53.11
-45.0,-41.0,-25.0,20.47,-122.97,48.61
-45.0,-41.0,-23.0,19.01,-121.51,44.18
-45.0,-41.0,-21.0,17.44,-119.94,39.83
-45.0,-41.0,-19.0,15.77,-118.27,35.56
-45.0,-41.0,-17.0,13.99,-116.49,31.37
-45.0,-41.0,-15.0,12.11,-114.61,27.27
-45.0,-41.0,-13.0,10.13,-112.63,23.27
-45.0,-41.0,-11.0,8.05,-110.55,19.36
-45.0,-41.0,-9.0,5.87,-108.37,15.57
-45.0,-41.0,-7.0,3.6,-106.1,11.88
-45.0,-41.0,-5.0,1.25,-103.75,8.3
-45.0,-41.0,-3.0,-1.19,-101.31,4.85
-45.0,-41.0,-1.0,-3.72,-98.78,1.52
-45.0,-41.0,1.0,-6.33,-96.17,-1.69
-45.0,-41.0,3.0,-9.02,-93.48,-4.76
-45.0,-41.0,5.0,-11.77,-90.73,-7.71
-45.0,-41.0,7.0,-14.61,-87.89,-10.51
-45.0,-41.0,9.0,-17.5,-85.0,-13.17
-45.0,-41.0,11.0,-20.47,-82.03,-15.69
-45.0,-41.0,13.0,-23.49,-79.01,-18.06
-45.0,-41.0,15.0,-26.57,-75.93,-20.27
-45.0,-41.0,17.0,-29.7,-72.8,-22.34
-45.0,-41.0,19.0,-32.88,-69.62,-24.25
-45.0,-41.0,21.0,-36.1,-66.4,-26.0
-45.0,-41.0,23.0,-39.37,-63.13,-27.59
-45.0,-41.0,25.0,-42.68,-59.82,-29.02
-45.0,-41.0,27.0,-46.01,-56.49,-30.28
-45.0,-41.0,29.0,-49.38,-53.12,-31.38
-45.0,-41.0,31.0,-52.77,-49.73,-32.32
-45.0,-41.0,33.0,-56.19,-46.31,-33.08
-45.0,-41.0,35.0,-59.61,-42.89,-33.68
-45.0,-41.0,37.0,-63.06,-39.44,-34.1
-45.0,-41.0,39.0,-66.51,-35.99,-34.36
-45.0,-41.0,41.0,-69.96,-32.54,-34.44
-45.0,-41.0,43.0,-73.42,-29.08,-34.36
-45.0,-41.0,45.0,-76.87,-25.63,-34.1
-45.0,-39.0,-45.0,27.66,-130.16,92.33
-45.0,-39.0,-43.0,27.24,-129.74,87.48
-45.0,-39.0,-41.0,26.7,-129.2,82.65
-45.0,-39.0,-39.0,26.04,-128.54,77.85
-45.0,-39.0,-37.0,25.26,-127.76,73.09
-45.0,-39.0,-35.0,24.36,-126.86,68.37
-45.0,-39.0,-33.0,23.35,-125.85,63.7
-45.0,-39.0,-31.0,22.23,-124.73,59.08
-45.0,-39.0,-29.0,20.99,-123.49,54.52
-45.0,-39.0,-27.0,19.64,-122.14,50.02
-45.0,-39.0,-25.0,18.18,-120.68,45.59
-45.0,-39.0,-23.0,16.61,-119.11,41.23
-45.0,-39.0,-21.0,14.94,-117.44,36.96
-45.0,-39.0,-19.0,13.16,-115.66,32.77
-45.0,-39.0,-17.0,11.28,-113.78,28.67
-45.0,-39.0,-15.0,9.29,-111.79,24.67
-45.0,-39.0,-13.0,7.21,-109.71,20.77
-45.0,-39.0,-11.0,5.04,-107.54,16.97
-45.0,-39.0,-9.0,2.77,-105.27,13.28
-45.0,-39.0,-7.0,0.42,-102.92,9.71
-45.0,-39.0,-5.0,-2.03,-100.47,6.25
-45.0,-39.0,-3.0,-4.55,-97.95,2.92
-45.0,-39.0,-1.0,-7.16,-95.34,-0.29
-45.0,-39.0,1.0,-9.85,-92.65,-3.36
-45.0,-39.0,3.0,-12.61,-89.89,-6.3
-45.0,-39.0,5.0,-15.44,-87.06,-9.1
-45.0,-39.0,7.0,-18.34,-84.16,-11.77
-45.0,-39.0,9.0,-21.3,-81.2,-14.28
-45.0,-39.0,11.0,-24.32,-78.18,-16.65
-45.0,-39.0,13.0,-27.4,-75.1,-18.87
-45.0,-39.0,15.0,-30.53,-71.97,-20.94
-45.0,-39.0,17.0,-33.71,-68.79,-22.85
-45.0,-39.0,19.0,-36.94,-65.56,-24.6
-45.0,-39.0,21.0,-40.2,-62.3,-26.19
-45.0,-39.0,23.0,-43.51,-58.99,-27.62
-45.0,-39.0,25.0,-46.85,-55.65,-28.88
-45.0,-39.0,27.0,-50.21,-52.29,-29.98
-45.0,-39.0,29.0,-53.61,-48.89,-30.91
-45.0,-39.0,31.0,-57.02,-45.48,-31.68
-45.0,-39.0,33.0,-60.45,-42.05,-32.27
-45.0,-39.0,35.0,-63.89,-38.61,-32.7
-45.0,-39.0,37.0,-67.34,-35.16,-32.95
-45.0,-39.0,39.0,-70.8,-31.7,-33.04
-45.0,-39.0,41.0,-74.25,-28.25,-32.95
-45.0,-39.0,43.0,-77.7,-24.8,-32.7
-45.0,-39.0,45.0,-81.14,-21.36,-32.27
-45.0,-37.0,-45.0,26.44,-128.94,88.92
-45.0,-37.0,-43.0,25.9,-128.4,84.09
-45.0,-37.0,-41.0,25.24,-127.74,79.3
-45.0,-37.0,-39.0,24.46,-126.96,74.54
-45.0,-37.0,-37.0,23.57,-126.07,69.82
-45.0,-37.0,-35.0,22.56,-125.06,65.14
-45.0,-37.0,-33.0,21.43,-123.93,60.52
-45.0,-37.0,-31.0,20.19,-122.69,55.96
-45.0,-37.0,-29.0,18.84,-121.34,51.46
-45.0,-37.0,-27.0,17.38,-119.88,47.03
-45.0,-37.0,-25.0,15.81,-118.31,42.68
-45.0,-37.0,-23.0,14.14,-116.64,38.4
-45.0,-37.0,-21.0,12.36,-114.86,34.22
-45.0,-37.0,-19.0,10.48,-112.98,30.12
-45.0,-37.0,-17.0,8.5,-111.0,26.11
-45.0,-37.0,-15.0,6.42,-108.92,22.21
-45.0,-37.0,-13.0,4.24,-106.74,18.41
-45.0,-37.0,-11.0,1.97,-104.47,14.73
-45.0,-37.0,-9.0,-0.38,-102.12,11.15
-45.0,-37.0,-7.0,-2.83,-99.67,7.7
-45.0,-37.0,-5.0,-5.35,-97.15,4.36
-45.0,-37.0,-3.0,-7.96,-94.54,1.16
-45.0,-37.0,-1.0,-10.65,-91.85,-1.92
-45.0,-37.0,1.0,-13.41,-89.09,-4.86
-45.0,-37.0,3.0,-16.24,-86.26,-7.66
-45.0,-37.0,5.0,-19.13,-83.37,-10.32
-45.0,-37.0,7.0,-22.1,-80.4,-12.84
-45.0,-37.0,9.0,-25.12,-77.38,-15.21
-45.0,-37.0,11.0,-28.2,-74.3,-17.43
-45.0,-37.0,13.0,-31.33,-71.17,-19.49
-45.0,-37.0,15.0,-34.51,-67.99,-21.4
-45.0,-37.0,17.0,-37.74,-64.76,-23.15
-45.0,-37.0,19.0,-41.0,-61.5,-24.74
-45.0,-37.0,21.0,-44.31,-58.19,-26.17
-45.0,-37.0,23.0,-47.64,-54.86,-27.44
-45.0,-37.0,25.0,-51.01,-51.49,-28.54
-45.0,-37.0,27.0,-54.4,-48.1,-29.47
-45.0,-37.0,29.0,-57.82,-44.68,-30.23
-45.0,-37.0,31.0,-61.25,-41.25,-30.83
-45.0,-37.0,33.0,-64.69,-37.81,-31.25
-45.0,-37.0,35.0,-68.14,-34.36,-31.51
-45.0,-37.0,37.0,-71.59,-30.91,-31.6
-45.0,-37.0,39.0,-75.05,-27.45,-31.51
-45.0,-37.0,41.0,-78.5,-24.0,-31.25
-45.0,-37.0,43.0,-81.94,-20.56,-30.83
-45.0,-37.0,45.0,-85.37,-17.13,-30.23
-45.0,-35.0,-45.0,25.14,-127.64,85.58
-45.0,-35.0,-43.0,24.48,-126.98,80.78
-45.0,-35.0,-41.0,23.7,-126.2,76.02
-45.0,-35.0,-39.0,22.81,-125.31,71.3
-45.0,-35.0,-37.0,21.79,-124.29,66.62
-45.0,-35.0,-35.0,20.67,-123.17,62.0
-45.0,-35.0,-33.0,19.43,-121.93,57.44
-45.0,-35.0,-31.0,18.08,-120.58,52.94
-45.0,-35.0,-29.0,16.62,-119.12,48.52
-45.0,-35.0,-27.0,15.05,-117.55,44.16
-45.0,-35.0,-25.0,13.38,-115.88,39.89
-45.0,-35.0,-23.0,11.6,-114.1,35.7
-45.0,-35.0,-21.0,9.72,-112.22,31.6
-45.0,-35.0,-19.0,7.73,-110.23,27.6
-45.0,-35.0,-17.0,5.65,-108.15,23.69
-45.0,-35.0,-15.0,3.48,-105.98,19.9
-45.0,-35.0,-13.0,1.21,-103.71,16.21
-45.0,-35.0,-11.0,-1.14,-101.36,12.64
-45.0,-35.0,-9.0,-3.59,-98.91,9.18
-45.0,-35.0,-7.0,-6.11,-96.39,5.85
-45.0,-35.0,-5.0,-8.72,-93.78,2.64
-45.0,-35.0,-3.0,-11.41,-91.09,-0.43
-45.0,-35.0,-1.0,-14.17,-88.33,-3.38
-45.0,-35.0,1.0,-17.0,-85.5,-6.18
-45.0,-35.0,3.0,-19.9,-82.6,-8.84
-45.0,-35.0,5.0,-22.86,-79.64,-11.36
-45.0,-35.0,7.0,-25.88,-76.62,-13.73
-45.0,-35.0,9.0,-28.96,-73.54,-15.94
-45.0,-35.0,11.0,-32.09,-70.41,-18.01
-45.0,-35.0,13.0,-35.27,-67.23,-19.92
-45.0,-35.0,15.0,-38.5,-64.0,-21.67
-45.0,-35.0,17.0,-41.76,-60.74,-23.26
-45.0,-35.0,19.0,-45.07,-57.43,-24.69
-45.0,-35.0,21.0,-48.41,-54.09,-25.95
-45.0,-35.0,23.0,-51.77,-50.73,-27.05
-45.0,-35.0,25.0,-55.16,-47.34,-27.99
-45.0,-35.0,27.0,-58.58,-43.92,-28.75
-45.0,-35.0,29.0,-62.01,-40.49,-29.35
-45.0,-35.0,31.0,-65.45,-37.05,-29.77
-45.0,-35.0,33.0,-68.9,-33.6,-30.03
-45.0,-35.0,35.0,-72.35,-30.15,-30.11
-45.0,-35.0,37.0,-75.81,-26.69,-30.03
-45.0,-35.0,39.0,-79.26,-23.24,-29.77
-45.0,-35.0,41.0,-82.7,-19.8,-29.35
-45.0,-35.0,43.0,-86.13,-16.37,-28.75
-45.0,-35.0,45.0,-89.55,-12.95,-27.99
-45.0,-33.0,-45.0,23.75,-126.25,82.3
-45.0,-33.0,-43.0,22.97,-125.47,77.54
-45.0,-33.0,-41.0,22.08,-124.58,72.82
-45.0,-33.0,-39.0,21.07,-123.57,68.14
-45.0,-33.0,-37.0,19.95,-122.45,63.52
-45.0,-33.0,-35.0,18.71,-121.21,58.96
-45.0,-33.0,-33.0,17.36,-119.86,54.46
-45.0,-33.0,-31.0,15.9,-118.4,50.03
-45.0,-33.0,-29.0,14.33,-116.83,45.68
-45.0,-33.0,-27.0,12.65,-115.15,41.41
-45.0,-33.0,-25.0,10.87,-113.37,37.22
-45.0,-33.0,-23.0,8.99,-111.49,33.12
-45.0,-33.0,-21.0,7.01,-109.51,29.12
-45.0,-33.0,-19.0,4.93,-107.43,25.21
-45.0,-33.0,-17.0,2.76,-105.26,21.42
-45.0,-33.0,-15.0,0.49,-102.99,17.73
-45.0,-33.0,-13.0,-1.87,-100.63,14.15
-45.0,-33.0,-11.0,-4.31,-98.19,10.7
-45.0,-33.0,-9.0,-6.84,-95.66,7.37
-45.0,-33.0,-7.0,-9.45,-93.05,4.16
-45.0,-33.0,-5.0,-12.13,-90.37,1.08
-45.0,-33.0,-3.0,-14.89,-87.61,-1.86
-45.0,-33.0,-1.0,-17.72,-84.78,-4.66
-45.0,-33.0,1.0,-20.62,-81.88,-7.32
-45.0,-33.0,3.0,-23.58,-78.92,-9.84
-45.0,-33.0,5.0,-26.6,-75.9,-12.21
-45.0,-33.0,7.0,-29.68,-72.82,-14.42
-45.0,-33.0,9.0,-32.81,-69.69,-16.49
-45.0,-33.0,11.0,-36.0,-66.5,-18.4
-45.0,-33.0,13.0,-39.22,-63.28,-20.15
-45.0,-33.0,15.0,-42.49,-60.01,-21.74
-45.0,-33.0,17.0,-45.79,-56.71,-23.17
-45.0,-33.0,19.0,-49.13,-53.37,-24.43
-45.0,-33.0,21.0,-52.5,-50.0,-25.53
-45.0,-33.0,23.0,-55.89,-46.61,-26.47
-45.0,-33.0,25.0,-59.3,-43.2,-27.23
-45.0,-33.0,27.0,-62.73,-39.77,-27.83
-45.0,-33.0,29.0,-66.17,-36.33,-28.25
-45.0,-33.0,31.0,-69.62,-32.88,-28.51
-45.0,-33.0,33.0,-73.08,-29.42,-28.59
-45.0,-33.0,35.0,-76.53,-25.97,-28.51
-45.0,-33.0,37.0,-79.99,-22.51,-28.25
-45.0,-33.0,39.0,-83.43,-19.07,-27.83
-45.0,-33.0,41.0,-86.86,-15.64,-27.23
-45.0,-33.0,43.0,-90.27,-12.23,-26.47
-45.0,-33.0,45.0,-93.66,-8.84,-25.53
-45.0,-31.0,-45.0,22.29,-124.79,79.09
-45.0,-31.0,-43.0,21.39,-123.89,74.37
-45.0,-31.0,-41.0,20.38,-122.88,69.7
-45.0,-31.0,-39.0,19.26,-121.76,65.08
-45.0,-31.0,-37.0,18.02,-120.52,60.52
-45.0,-31.0,-35.0,16.67,-119.17,56.02
-45.0,-31.0,-33.0,15.21,-117.71,51.59
-45.0,-31.0,-31.0,13.64,-116.14,47.23
-45.0,-31.0,-29.0,11.97,-114.47,42.96
-45.0,-31.0,-27.0,10.19,-112.69,38.77
-45.0,-31.0,-25.0,8.3,-110.8,34.67
-45.0,-31.0,-23.0,6.32,-108.82,30.67
-45.0,-31.0,-21.0,4.24,-106.74,26.77
-45.0,-31.0,-19.0,2.07,-104.57,22.97
-45.0,-31.0,-17.0,-0.2,-102.3,19.28
-45.0,-31.0,-15.0,-2.56,-99.94,15.71
-45.0,-31.0,-13.0,-5.0,-97.5,12.25
-45.0,-31.0,-11.0,-7.53,-94.97,8.92
-45.0,-31.0,-9.0,-10.13,-92.37,5.71
-45.0,-31.0,-7.0,-12.82,-89.68,2.64
-45.0,-31.0,-5.0,-15.58,-86.92,-0.3
-45.0,-31.0,-3.0,-18.41,-84.09,-3.1
-45.0,-31.0,-1.0,-21.31,-81.19,-5.77
-45.0,-31.0,1.0,-24.27,-78.23,-8.28
-45.0,-31.0,3.0,-27.29,-75.21,-10.65
-45.0,-31.0,5.0,-30.37,-72.13,-12.87
-45.0,-31.0,7.0,-33.5,-69.0,-14.94
-45.0,-31.0,9.0,-36.68,-65.82,-16.85
-45.0,-31.0,11.0,-39.91,-62.59,-18.6
-45.0,-31.0,13.0,-43.18,-59.32,-20.19
-45.0,-31.0,15.0,-46.48,-56.02,-21.62
-45.0,-31.0,17.0,-49.82,-52.68,-22.88
-45.0,-31.0,19.0,-53.18,-49.32,-23.98
-45.0,-31.0,21.0,-56.58,-45.92,-24.91
-45.0,-31.0,23.0,-59.99,-42.51,-25.68
-45.0,-31.0,25.0,-63.42,-39.08,-26.27
-45.0,-31.0,27.0,-66.86,-35.64,-26.7
-45.0,-31.0,29.0,-70.31,-32.19,-26.95
-45.0,-31.0,31.0,-73.77,-28.73,-27.04
-45.0,-31.0,33.0,-77.22,-25.28,-26.95
-45.0,-31.0,35.0,-80.67,-21.83,-26.7
-45.0,-31.0,37.0,-84.11,-18.39,-26.27
-45.0,-31.0,39.0,-87.54,-14.96,-25.68
-45.0,-31.0,41.0,-90.96,-11.54,-24.91
-45.0,-31.0,43.0,-94.35,-8.15,-23.98
-45.0,-31.0,45.0,-97.72,-4.78,-22.88
-45.0,-29.0,-45.0,20.75,-123.25,75.96
-45.0,-29.0,-43.0,19.74,-122.24,71.29
-45.0,-29.0,-41.0,18.61,-121.11,66.66
-45.0,-29.0,-39.0,17.37,-119.87,62.1
-45.0,-29.0,-37.0,16.02,-118.52,57.6
-45.0,-29.0,-35.0,14.56,-117.06,53.18
-45.0,-29.0,-33.0,12.99,-115.49,48.82
-45.0,-29.0,-31.0,11.32,-113.82,44.55
-45.0,-29.0,-29.0,9.54,-112.04,40.36
-45.0,-29.0,-27.0,7.66,-110.16,36.26
-45.0,-29.0,-25.0,5.67,-108.17,32.26
-45.0,-29.0,-23.0,3.6,-106.1,28.35
-45.0,-29.0,-21.0,1.42,-103.92,24.56
-45.0,-29.0,-19.0,-0.85,-101.65,20.87
-45.0,-29.0,-17.0,-3.2,-99.3,17.3
-45.0,-29.0,-15.0,-5.65,-96.85,13.84
-45.0,-29.0,-13.0,-8.17,-94.33,10.51
-45.0,-29.0,-11.0,-10.78,-91.72,7.3
-45.0,-29.0,-9.0,-13.47,-89.03,4.23
-45.0,-29.0,-7.0,-16.23,-86.27,1.29
-45.0,-29.0,-5.0,-19.06,-83.44,-1.52
-45.0,-29.0,-3.0,-21.95,-80.55,-4.18
-45.0,-29.0,-1.0,-24.92,-77.58,-6.7
-45.0,-29.0,1.0,-27.94,-74.56,-9.07
-45.0,-29.0,3.0,-31.02,-71.48,-11.28
-45.0,-29.0,5.0,-34.15,-68.35,-13.35
-45.0,-29.0,7.0,-37.33,-65.17,-15.26
-45.0,-29.0,9.0,-40.56,-61.94,-17.01
-45.0,-29.0,11.0,-43.82,-58.68,-18.6
-45.0,-29.0,13.0,-47.13,-55.37,-20.03
-45.0,-29.0,15.0,-50.46,-52.04,-21.29
-45.0,-29.0,17.0,-53.83,-48.67,-22.39
-45.0,-29.0,19.0,-57.22,-45.28,-23.33
-45.0,-29.0,21.0,-60.64,-41.86,-24.09
-45.0,-29.0,23.0,-64.07,-38.43,-24.69
-45.0,-29.0,25.0,-67.51,-34.99,-25.11
-45.0,-29.0,27.0,-70.96,-31.54,-25.37
-45.0,-29.0,29.0,-74.41,-28.09,-25.45
-45.0,-29.0,31.0,-77.87,-24.63,-25.37
-45.0,-29.0,33.0,-81.32,-21.18,-25.11
-45.0,-29.0,35.0,-84.76,-17.74,-24.69
-45.0,-29.0,37.0,-88.19,-14.31,-24.09
-45.0,-29.0,39.0,-91.6,-10.9,-23.33
-45.0,-29.0,41.0,-95.0,-7.5,-22.39
-45.0,-29.0,43.0,-98.36,-4.14,-21.29
-45.0,-29.0,45.0,-101.7,-0.8,-20.03
-45.0,-27.0,-45.0,19.13,-121.63,72.9
-45.0,-27.0,-43.0,18.0,-120.5,68.28
-45.0,-27.0,-41.0,16.76,-119.26,63.72
-45.0,-27.0,-39.0,15.41,-117.91,59.22
-45.0,-27.0,-37.0,13.95,-116.45,54.79
-45.0,-27.0,-35.0,12.38,-114.88,50.44
-45.0,-27.0,-33.0,10.71,-113.21,46.17
-45.0,-27.0,-31.0,8.93,-111.43,41.98
-45.0,-27.0,-29.0,7.05,-109.55,37.88
-45.0,-27.0,-27.0,5.07,-107.57,33.88
-45.0,-27.0,-25.0,2.99,-105.49,29.97
-45.0,-27.0,-23.0,0.81,-103.31,26.18
-45.0,-27.0,-21.0,-1.45,-101.05,22.49
-45.0,-27.0,-19.0,-3.81,-98.69,18.91
-45.0,-27.0,-17.0,-6.25,-96.25,15.46
-45.0,-27.0,-15.0,-8.78,-93.72,12.13
-45.0,-27.0,-13.0,-11.39,-91.11,8.92
-45.0,-27.0,-11.0,-14.07,-88.43,5.84
-45.0,-27.0,-9.0,-16.83,-85.67,2.9
-45.0,-27.0,-7.0,-19.67,-82.83,0.1
-45.0,-27.0,-5.0,-22.56,-79.94,-2.56
-45.0,-27.0,-3.0,-25.52,-76.98,-5.08
-45.0,-27.0,-1.0,-28.55,-73.95,-7.45
-45.0,-27.0,1.0,-31.63,-70.87,-9.67
-45.0,-27.0,3.0,-34.76,-67.74,-11.73
-45.0,-27.0,5.0,-37.94,-64.56,-13.64
-45.0,-27.0,7.0,-41.16,-61.34,-15.39
-45.0,-27.0,9.0,-44.43,-58.07,-16.98
-45.0,-27.0,11.0,-47.74,-54.76,-18.41
-45.0,-27.0,13.0,-51.07,-51.43,-19.68
-45.0,-27.0,15.0,-54.44,-48.06,-20.78
-45.0,-27.0,17.0,-57.83,-44.67,-21.71
-45.0,-27.0,19.0,-61.24,-41.26,-22.47
-45.0,-27.0,21.0,-64.67,-37.83,-23.07
-45.0,-27.0,23.0,-68.12,-34.38,-23.49
-45.0,-27.0,25.0,-71.57,-30.93,-23.75
-45.0,-27.0,27.0,-75.02,-27.48,-23.83
-45.0,-27.0,29.0,-78.48,-24.02,-23.75
-45.0,-27.0,31.0,-81.93,-20.57,-23.49
-45.0,-27.0,33.0,-85.37,-17.13,-23.07
-45.0,-27.0,35.0,-88.8,-13.7,-22.47
-45.0,-27.0,37.0,-92.21,-10.29,-21.71
-45.0,-27.0,39.0,-95.6,-6.9,-20.78
-45.0,-27.0,41.0,-98.97,-3.53,-19.68
-45.0,-27.0,43.0,-102.31,-0.19,-18.41
-45.0,-27.0,45.0,-105.61,3.11,-16.98
-45.0,-25.0,-45.0,17.43,-119.93,69.93
-45.0,-25.0,-43.0,16.2,-118.7,65.37
-45.0,-25.0,-41.0,14.85,-117.35,60.87
-45.0,-25.0,-39.0,13.39,-115.89,56.44
-45.0,-25.0,-37.0,11.82,-114.32,52.09
-45.0,-25.0,-35.0,10.14,-112.64,47.81
-45.0,-25.0,-33.0,8.36,-110.86,43.62
-45.0,-25.0,-31.0,6.48,-108.98,39.53
-45.0,-25.0,-29.0,4.5,-107.0,35.52
-45.0,-25.0,-27.0,2.42,-104.92,31.62
-45.0,-25.0,-25.0,0.24,-102.74,27.82
-45.0,-25.0,-23.0,-2.02,-100.48,24.13
-45.0,-25.0,-21.0,-4.38,-98.12,20.56
-45.0,-25.0,-19.0,-6.82,-95.68,17.1
-45.0,-25.0,-17.0,-9.35,-93.15,13.77
-45.0,-25.0,-15.0,-11.96,-90.54,10.57
-45.0,-25.0,-13.0,-14.64,-87.86,7.49
-45.0,-25.0,-11.0,-17.4,-85.1,4.55
-45.0,-25.0,-9.0,-20.23,-82.27,1.75
-45.0,-25.0,-7.0,-23.13,-79.37,-0.91
-45.0,-25.0,-5.0,-26.09,-76.41,-3.43
-45.0,-25.0,-3.0,-29.12,-73.38,-5.8
-45.0,-25.0,-1.0,-32.19,-70.31,-8.02
-45.0,-25.0,1.0,-35.33,-67.17,-10.08
-45.0,-25.0,3.0,-38.51,-63.99,-11.99
-45.0,-25.0,5.0,-41.73,-60.77,-13.74
